#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:O60602	uniprotkb:C3PTT6	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	intact:EBI-3505892	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:c3ptt6_human(display_long)|uniprotkb:PAUF(gene name)|psi-mi:PAUF(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Park et al. (2011)	pubmed:20802527|imex:IM-15762	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:1262"(I2D)	intact:EBI-3505977|imex:IM-15762-5	intact-miscore:0.40
uniprotkb:Q56086	uniprotkb:Q9JLF7	intact:EBI-6548623|uniprotkb:A0A0C9BAB7|uniprotkb:A0A3U8KXS2|uniprotkb:Q7AMS1|uniprotkb:Q7CAP0	intact:EBI-6548397	psi-mi:q56086_salti(display_long)|uniprotkb:flag(gene name)|psi-mi:flag(display_short)|uniprotkb:fliC(gene name synonym)|uniprotkb:AAC01_03425(orf name)|uniprotkb:AAC52_04640(orf name)|uniprotkb:AU794_12275(orf name)|uniprotkb:AVE86_03185(orf name)|uniprotkb:AXU49_00935(orf name)|uniprotkb:CAJ75_06555(orf name)|uniprotkb:CAJ76_06505(orf name)|uniprotkb:CAJ80_03375(orf name)|uniprotkb:CAJ85_04575(orf name)|uniprotkb:CAK12_09740(orf name)|uniprotkb:CAK24_00935(orf name)|uniprotkb:CAK32_00935(orf name)|uniprotkb:CAK36_00935(orf name)|uniprotkb:CAK56_11070(orf name)|uniprotkb:CAK57_06540(orf name)|uniprotkb:CAK71_03855(orf name)|uniprotkb:CAL67_12145(orf name)|uniprotkb:CC907_12870(orf name)|uniprotkb:CC972_07575(orf name)|uniprotkb:D4X52_07815(orf name)|uniprotkb:D4Z37_07295(orf name)|uniprotkb:D5X14_06670(orf name)|uniprotkb:D6Q20_00965(orf name)|uniprotkb:D6Q30_02125(orf name)|uniprotkb:D6Q31_03665(orf name)|uniprotkb:DKA88_09025(orf name)|uniprotkb:DNI81_06740(orf name)|uniprotkb:DNM71_02830(orf name)|uniprotkb:DNV09_19665(orf name)|uniprotkb:DOW09_05440(orf name)|uniprotkb:DPD82_00965(orf name)|uniprotkb:DPP40_05535(orf name)|uniprotkb:DQ941_06675(orf name)|uniprotkb:DS261_05445(orf name)|uniprotkb:DUQ91_05450(orf name)|uniprotkb:DUV11_05550(orf name)|uniprotkb:DVG36_04795(orf name)|uniprotkb:EBC23_07965(orf name)|uniprotkb:EBC38_05305(orf name)|uniprotkb:ECD38_00940(orf name)|uniprotkb:CAM45_05350(orf name)|uniprotkb:CB224_05025(orf name)|uniprotkb:CC759_09990(orf name)|uniprotkb:CC884_04670(orf name)|uniprotkb:EI477_00940(orf name)|uniprotkb:EI814_00940(orf name)|uniprotkb:EID90_03425(orf name)|uniprotkb:EIW77_00940(orf name)|uniprotkb:EIE00_00940(orf name)|uniprotkb:EIE07_13095(orf name)|uniprotkb:EIE09_02135(orf name)|uniprotkb:EJG85_07075(orf name)|uniprotkb:EJO28_04675(orf name)|uniprotkb:ELQ62_04395(orf name)|uniprotkb:ETB62_03610(orf name)|uniprotkb:EU258_20805(orf name)|uniprotkb:EU445_05305(orf name)|uniprotkb:EU459_06660(orf name)|uniprotkb:EU867_00940(orf name)|uniprotkb:EUB90_16410(orf name)|uniprotkb:EVI00_00940(orf name)|uniprotkb:EVT89_04530(orf name)|uniprotkb:EXQ16_05005(orf name)|uniprotkb:F9R11_00935(orf name)|uniprotkb:F9Y21_00935(orf name)|uniprotkb:FI137_03295(orf name)|uniprotkb:GDI29_00935(orf name)|uniprotkb:GDI57_00935(orf name)|uniprotkb:ZZ17_03360(orf name)|uniprotkb:ZZ24_02685(orf name)|uniprotkb:ZZ85_04710(orf name)|uniprotkb:t0918(locus name)|uniprotkb:CK363_07670(orf name)|uniprotkb:DSF54_09530(orf name)|uniprotkb:ABP05_13155(orf name)|uniprotkb:AXU46_03610(orf name)	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:"MI:0096"(pull down)	Mathur et al. (2012)	pubmed:23101627|imex:IM-18684	taxid:90370(salti)|taxid:90370(Salmonella typhi)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6548649|imex:IM-18684-7	intact-miscore:0.50
uniprotkb:Q6R5P0	uniprotkb:Q9JLF7	intact:EBI-6548549	intact:EBI-6548397	psi-mi:tlr11_mouse(display_long)|uniprotkb:Tlr11(gene name)|psi-mi:Tlr11(display_short)|uniprotkb:Gm287(gene name synonym)|uniprotkb:Tlr12(gene name synonym)|uniprotkb:Toll-like receptor 12(gene name synonym)	psi-mi:tlr5_mouse(display_long)|uniprotkb:Tlr5(gene name)|psi-mi:Tlr5(display_short)	psi-mi:"MI:0019"(coimmunoprecipitation)	Mathur et al. (2012)	pubmed:23101627|imex:IM-18684	taxid:10090(mouse)|taxid:10090(Mus musculus)	taxid:10090(mouse)|taxid:10090(Mus musculus)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-6548592|imex:IM-18684-3	intact-miscore:0.40
uniprotkb:Q99836	uniprotkb:O60602	intact:EBI-447677|uniprotkb:Q53XS7|uniprotkb:B4DKH8|uniprotkb:B4DKU4|uniprotkb:J3KPU4|uniprotkb:J3KQ87|uniprotkb:J3KQJ6|uniprotkb:P78397|uniprotkb:B4DQ60|uniprotkb:B4DQ72	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:myd88_human(display_long)|uniprotkb:MYD88(gene name)|psi-mi:MYD88(display_short)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Nishiya et al. (2007)	pubmed:17583698|imex:IM-11217|mint:MINT-5220054	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT)	intact:EBI-7471959|mint:MINT-4950414|imex:IM-11217-3	intact-miscore:0.40
uniprotkb:P20273-1	uniprotkb:O60602	intact:EBI-16825452	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p20273-1(display_long)|uniprotkb:SIGLEC2(gene name synonym)|uniprotkb:B-lymphocyte cell adhesion molecule(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin 2(gene name synonym)|uniprotkb:T-cell surface antigen Leu-14(gene name synonym)|uniprotkb:CD22(gene name)|psi-mi:CD22(display_short)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825520|imex:IM-26349-21	intact-miscore:0.40
uniprotkb:P20138-1	uniprotkb:O60602	intact:EBI-15186203	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:p20138-1(display_long)|uniprotkb:CD33(gene name)|psi-mi:CD33(display_short)|uniprotkb:SIGLEC3(gene name synonym)|uniprotkb:Sialic acid-binding Ig-like lectin 3(gene name synonym)|uniprotkb:gp67(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825548|imex:IM-26349-23	intact-miscore:0.40
uniprotkb:O15389	uniprotkb:O60602	intact:EBI-750381	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:sigl5_human(display_long)|uniprotkb:Obesity-binding protein 2(gene name synonym)|uniprotkb:CD33 antigen-like 2(gene name synonym)|uniprotkb:SIGLEC5(gene name)|psi-mi:SIGLEC5(display_short)|uniprotkb:CD33L2(gene name synonym)|uniprotkb:OBBP2(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825632|imex:IM-26349-45	intact-miscore:0.40
uniprotkb:O43699-3	uniprotkb:O60602	intact:EBI-12161783	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:o43699-3(display_long)|uniprotkb:SIGLEC6(gene name)|psi-mi:SIGLEC6(display_short)|uniprotkb:CD33 antigen-like 1(gene name synonym)|uniprotkb:CD33L(gene name synonym)|uniprotkb:CD33L1(gene name synonym)|uniprotkb:CDw327(gene name synonym)|uniprotkb:OBBP1(gene name synonym)|uniprotkb:Obesity-binding protein 1(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825748|imex:IM-26349-65	intact-miscore:0.40
uniprotkb:Q9Y286	uniprotkb:O60602	intact:EBI-2801178|uniprotkb:Q9UJ86|uniprotkb:Q9NZQ1|uniprotkb:Q9Y502|uniprotkb:Q9UJ87	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:sigl7_human(display_long)|uniprotkb:AIRM1(gene name synonym)|uniprotkb:Adhesion inhibitory receptor molecule 1(gene name synonym)|uniprotkb:CDw328(gene name synonym)|uniprotkb:D-siglec(gene name synonym)|uniprotkb:QA79 membrane protein(gene name synonym)|uniprotkb:p75(gene name synonym)|uniprotkb:SIGLEC7(gene name)|psi-mi:SIGLEC7(display_short)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825790|imex:IM-26349-5	intact-miscore:0.40
uniprotkb:Q9Y336	uniprotkb:O60602	intact:EBI-12857926|uniprotkb:Q6GTU4|uniprotkb:Q9BYI9	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:sigl9_human(display_long)|uniprotkb:SIGLEC9(gene name)|psi-mi:SIGLEC9(display_short)|uniprotkb:CDw329(gene name synonym)|uniprotkb:Protein FOAP-9(gene name synonym)|uniprotkb:UNQ668/PRO1302(orf name)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825800|imex:IM-26349-87	intact-miscore:0.40
uniprotkb:Q96RL6-1	uniprotkb:O60602	intact:EBI-16825909	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:q96rl6-1(display_long)|uniprotkb:SIGLEC11(gene name)|psi-mi:SIGLEC11(display_short)|uniprotkb:UNQ9222/PRO28718(orf name)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0411"(enzyme linked immunosorbent assay)	Chen et al. (2014)	pubmed:25187624|imex:IM-26349	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-16825920|imex:IM-26349-11	intact-miscore:0.40
uniprotkb:Q8WYK0	uniprotkb:O60602	intact:EBI-11954993|uniprotkb:B3KVK9|uniprotkb:Q5FWE9	intact:EBI-3505951|uniprotkb:B1AZ05|uniprotkb:B3Y633|uniprotkb:O15456|uniprotkb:Q32MI3|uniprotkb:D3DTB8|uniprotkb:B9VJ63|uniprotkb:D1CS80|uniprotkb:Q32MI2	psi-mi:aco12_human(display_long)|uniprotkb:ACOT12(gene name)|psi-mi:ACOT12(display_short)|uniprotkb:Acyl-CoA thioester hydrolase 12(gene name synonym)|uniprotkb:CACH(gene name synonym)|uniprotkb:CACH1(gene name synonym)|uniprotkb:Cytoplasmic acetyl-CoA hydrolase 1(gene name synonym)|uniprotkb:STARD15(gene name synonym)|uniprotkb:START domain-containing protein 15(gene name synonym)|uniprotkb:Acyl-coenzyme A thioesterase 12(gene name synonym)	psi-mi:tlr5_human(display_long)|uniprotkb:TLR5(gene name)|psi-mi:TLR5(display_short)|uniprotkb:TIL3(gene name synonym)|uniprotkb:Toll/interleukin-1 receptor-like protein 3(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Huttlin et al. (2017)	pubmed:28514442|doi:10.1038/nature22366|imex:IM-25778	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-21732608|imex:IM-25778-9371	intact-miscore:0.35
